,Abundance,Substructure,SMILES,SMARTS
43,571064,α-Amino_N-carboxamide,CNC(=O)C(C)N,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
44,551420,Thiol,CS,[#6v4]-[#16v2]-[#1]
45,549426,"1,1,2-Hydrazine",CNN(C)C,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4]
46,527271,"1,1,2,3-Guanidine",CN=C(NC)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4]
47,522878,"N,N,N'-Carboximidamide",CN=C(C)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#6v4]
48,469229,"N,N,N,N-Aminium_cation",C[N+](C)(C)C,[#6v4]-[#7v4+](-[#6v4])(-[#6v4])-[#6v4]
49,440832,"N,N'-Thiourea",CNC(=S)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
50,438253,N'-Carbohydrazide,CNNC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4]
51,432363,N-Hydrazone_(ketone),CNN=C(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#1])-[#6v4])-[#6v4]
52,430228,Sulfonamide,CS(N)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#1]
53,419766,Sulfoxide,CS(C)=O,[#6v4]-[#16v4](=[#8v2])-[#6v4]
54,417854,"1,2-Diazene",CN=NC,[#6v4]-[#7v3]=[#7v3]-[#6v4]
55,414576,Sulfonic_acid,CS(=O)(=O)O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#8v2]-[#1]
56,407980,O-Ketoxime,CON=C(C)C,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#6v4])-[#6v4]
57,386579,"α-Oxo_N,N-carboxamide",CC(=O)C(=O)N(C)C,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
58,366858,"N,N,N'-Thiourea",CNC(=S)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
59,356082,"N,N-Hydrazone_(carbaldehyde)",CC=NN(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#6v4])-[#6v4])-[#1]
60,348353,"N,N,O-Hydroxylamine",CON(C)C,[#6v4]-[#7v3](-[#8v2]-[#6v4])-[#6v4]
61,345879,"α-Oxy_N,N-amine_(primary)",COC(C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#8v2]-[#6v4])-[#1]
62,342035,"1,1,2,2-Hydrazine",CN(C)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#6v4])-[#6v4]
63,340474,N-Carbohydrazide_(N'-propan-2-ylidene),CC(=O)N(C)N=C(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
64,330830,N'-(N-Carboximidoyl)carboxamide,CN=C(C)NC(C)=O,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#6v4]
65,326473,Sulfonate_ester,COS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#8v2]-[#6v4]
66,316303,"N,N,N'-Formimidamide",CN=CN(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#1]
67,307898,"1,2-Guanidine",CN=C(N)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#1]
68,301290,"N,N'-(N-Carboximidoyl)carboxamide",CN=C(C)N(C)C(C)=O,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#6v4]
69,279764,"α-S-Sulfanyl_N,N-amine_(primary)",CSC(C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#16v2]-[#6v4])-[#1]
70,278670,Carbothioamide,CC(N)=S,[#6v4]-[#6v4](=[#16v2])-[#7v3](-[#1])-[#1]
71,269770,"N,O-Hydroxylamine",CNOC,[#6v4]-[#7v3](-[#1])-[#8v2]-[#6v4]
72,265437,"N,N-Carbamothioate_S-ester",CSC(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#16v2]-[#6v4]
73,257448,N'-Carboximidamide,CN=C(C)N,[#1]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#6v4]
74,256464,"N,N'-Carbohydrazide",CNN(C)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4]
75,251448,"N,N-Carbamic_acid",CN(C)C(=O)O,[#1]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
76,248711,2-Guanidine,CN=C(N)N,[#1]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#1]
77,247720,Carbohydrazide_(N'-propan-2-ylidene),CC(=O)NN=C(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
78,244669,"N,N'-(N-Formimidoyl)carboxamide",CN=CN(C)C(C)=O,[#1]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#6v4]
79,230700,N-Hydroxylamine,CNO,[#6v4]-[#7v3](-[#1])-[#8v2]-[#1]
80,227241,"N,N-Aminium_cation",C[NH2+]C,[#6v4]-[#7v4+](-[#6v4])(-[#1])-[#1]
81,226609,Carboximidamide,CC(=N)N,[#1]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#1])-[#6v4]
82,218926,N-Carbohydrazide_(N'-ethylidene),CC=NN(C)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3]=[#6v4](-[#1])-[#6v4]
83,216117,"N,N-Carbamodithioate_ester",CSC(=S)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#16v2])-[#16v2]-[#6v4]
84,211511,Carboxamidoxime,CC(N)=NO,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#1])-[#7v3](-[#1])-[#1]
85,209648,Carbonate_ester,COC(=O)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#8v2]-[#6v4]
86,208856,"N,N'-Carbamimidothioate_ester",CN=C(NC)SC,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4]
87,206839,Isocarbonitrile,C[N+]#[C-],[#6v4]-[#7v4+]#[#6v3-]
88,195724,N-Carboximidate_ester,CN=C(C)OC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#8v2]-[#6v4]
89,193274,(N-Sulfonyl)carboxamide,CC(=O)NS(C)(=O)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#16v6](=[#8v2])(=[#8v2])-[#6v4]
90,192587,Imide,CC(=O)NC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#6v4]
91,188529,Hemiacetal,COC(C)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#8v2]-[#6v4])-[#1]
92,187717,Azidooxyalkane,CON=[N+]=[N-],[#6v4]-[#8v2]-[#7v3]=[#7v4+]=[#7v2-]
93,185985,"N',N'-Carbohydrazide",CC(=O)NN(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3](-[#6v4])-[#6v4]
94,182723,"Phosphoric_acid_O,O-ester",COP(=O)(O)OC,[#6v4]-[#8v2]-[#15v5](=[#8v2])(-[#8v2]-[#1])-[#8v2]-[#6v4]
95,182137,"α-Amino_N,N-carboxamide",CC(N)C(=O)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
96,179410,Peroxide,COOC,[#6v4]-[#8v2]-[#8v2]-[#6v4]
97,169763,(N-Hydroxy)carboxamide,CC(=O)NO,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#8v2]-[#1]
98,163472,N-Urea,CNC(N)=O,[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
99,161599,Ketimine,CC(C)=N,[#6v4]-[#6v4](=[#7v3]-[#1])-[#6v4]
100,155718,Sulfonate_anion,CS(=O)(=O)[O-],[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#8v1-]
101,153768,α-Amino_carboxylic_acid,CC(N)C(=O)O,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#8v2]-[#1]
102,143693,N-Carbamic_acid,CNC(=O)O,[#1]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
103,140817,Boronate_ester,COB(C)OC,[#6v4]-[#5v3](-[#8v2]-[#6v4])-[#8v2]-[#6v4]
104,138243,"N,O-(N-Hydroxy)carboxamide",CON(C)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#8v2]-[#6v4]
105,137984,"N,N',N'-Carbohydrazide",CC(=O)N(C)N(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3](-[#6v4])-[#6v4]
106,135433,"1,1-Hydrazine",CN(C)N,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#1])-[#1]
107,132318,"1,1,2-Guanidine",CN=C(N)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#1]
108,131008,Carbothioate_S-ester,CSC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#16v2]-[#6v4]
109,129587,Disulfide,CSSC,[#6v4]-[#16v2]-[#16v2]-[#6v4]
110,128727,N-Formamide,CNC=O,[#1]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
111,127557,"N,N-Hydroxylamine",CN(C)O,[#6v4]-[#7v3](-[#6v4])-[#8v2]-[#1]
112,123301,"N,N,N'-Sulfamide",CNS(=O)(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#6v4]
113,122488,Phosphonate_ester,COP(C)(=O)OC,[#6v4]-[#15v5](=[#8v2])(-[#8v2]-[#6v4])-[#8v2]-[#6v4]
114,120618,"N,N-Formamide",CN(C)C=O,[#1]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
115,117816,Ketoxime,CC(C)=NO,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#1])-[#6v4]
116,116427,Chloro_(S),SCl,[#16]-[#17v1]
117,116173,N-Aminium_cation,C[NH3+],[#6v4]-[#7v4+](-[#1])(-[#1])-[#1]
118,115277,Phosphine_(tertiary),CP(C)C,[#6v4]-[#15v3](-[#6v4])-[#6v4]
119,114172,Nitroso,CN=O,[#6v4]-[#7v3]=[#8v2]
120,111488,Carbohydrazide,CC(=O)NN,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3](-[#1])-[#1]
121,108569,Hemiketal,COC(C)(C)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#8v2]-[#6v4])-[#6v4]
122,104370,"N,N'-Formimidamide",CN=CNC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#1]
123,104001,Aldimine,CC=N,[#6v4]-[#6v4](=[#7v3]-[#1])-[#1]
124,103372,N-Formaldimine,C=NC,[#6v4]-[#7v3]=[#6v4](-[#1])-[#1]
125,102290,N-Carbamothioate_S-ester,CNC(=O)SC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#16v2]-[#6v4]
126,101559,"N,N,N',N'-Sulfamide",CN(C)S(=O)(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#6v4])-[#6v4]
127,100932,O-(N-Hydroxy)carboxamide,CONC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#8v2]-[#6v4]
128,100180,Phosphoric_acid_O-ester,COP(=O)(O)O,[#6v4]-[#8v2]-[#15v5](=[#8v2])(-[#8v2]-[#1])-[#8v2]-[#1]
129,100004,Sulfonyl_chloride,CS(=O)(=O)Cl,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#17v1]
130,99739,Phosphonic_acid,CP(=O)(O)O,[#6v4]-[#15v5](=[#8v2])(-[#8v2]-[#1])-[#8v2]-[#1]
131,99422,α-Hydroxy_N-carboxamide,CNC(=O)C(C)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
132,97896,"N,N-Ketiminium_cation",CC(C)=[N+](C)C,[#6v4]-[#6v4](=[#7v4+](-[#6v4])-[#6v4])-[#6v4]
133,97442,"α-N,N-Amino_alcohol_(primary)",CC(O)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#8v2]-[#1])-[#1]
134,96173,"N,N-(N-Azido)amine",CN(C)N=[N+]=[N-],[#6v4]-[#7v3](-[#6v4])-[#7v3]=[#7v4+]=[#7v2-]
135,95586,α-N-Amino_alcohol_(primary),CNC(C)O,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#8v2]-[#1])-[#1]
136,95539,α-Oxy_N-amine_(primary),CNC(C)OC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#8v2]-[#6v4])-[#1]
137,94856,α-Amino_carboxylate_ester,COC(=O)C(C)N,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#8v2]-[#6v4]
138,93535,α-Diketone,CC(=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#6v4]
139,93032,α-Oxo_N-carboxamide,CNC(=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
140,92315,"N,N-Carboximidamide",CC(=N)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#1])-[#6v4]
141,91476,"Geminal_N,N'-diamine_(primary)",CNC(C)NC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#7v3](-[#1])-[#6v4])-[#1]
142,91128,"N,S-Thiohydroxylamine",CNSC,[#6v4]-[#16v2]-[#7v3](-[#1])-[#6v4]
143,86907,Boronic_acid,CB(O)O,[#6v4]-[#5v3](-[#8v2]-[#1])-[#8v2]-[#1]
144,86408,Carboxylic_anhydride,CC(=O)OC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#6v4](=[#8v2])-[#6v4]
145,84347,N-Carbothioamide,CNC(C)=S,[#6v4]-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
146,83779,Acyl_chloride,CC(=O)Cl,[#6v4]-[#6v4](=[#8v2])-[#17v1]
147,80968,"α-Oxy_N,N-amine_(secondary)",COC(C)(C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#8v2]-[#6v4])-[#6v4]
148,80025,Carbamate_ester,COC(N)=O,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
149,79325,O-Aldoxime,CC=NOC,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#6v4])-[#1]
150,79004,N-Carboximidothioate_ester,CN=C(C)SC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#16v2]-[#6v4]
151,77795,"N,2-Hydrazinecarbothioamide",CNNC(=S)NC,[#6v4]-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
152,75937,α-Hydroxy_ketone,CC(=O)C(C)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#6v4]
153,75679,Acyl_azide,CC(=O)N=[N+]=[N-],[#6v4]-[#6v4](=[#8v2])-[#7v3]=[#7v4+]=[#7v2-]
154,74890,N-(N-Sulfonyl)carboxamide,CC(=O)N(C)S(C)(=O)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#16v6](=[#8v2])(=[#8v2])-[#6v4]
155,74779,"N,N,S-Thiohydroxylamine",CSN(C)C,[#6v4]-[#16v2]-[#7v3](-[#6v4])-[#6v4]
156,73579,"Geminal_N,N,N',N'-diamine_(primary)",CC(N(C)C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#7v3](-[#6v4])-[#6v4])-[#1]
157,72607,Formate_ester,COC=O,[#1]-[#6v4](=[#8v2])-[#8v2]-[#6v4]
158,71562,α-Hydroxy_carboxylate_ester,COC(=O)C(C)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#8v2]-[#6v4]
159,71423,α-Hydroxy_carboxylic_acid,CC(O)C(=O)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#8v2]-[#1]
160,70547,N'-(N-Formimidoyl)carboxamide,CN=CNC(C)=O,[#1]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#6v4]
161,70310,Isocyanate_ester,CN=C=O,[#6v4]-[#7v3]=[#6v4]=[#8v2]
162,67956,"N,N-Amino_carboxylate",CC(=O)ON(C)C,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#7v3](-[#6v4])-[#6v4]
163,64578,Monothioacetal,COC(C)SC,[#6v4]-[#6v4](-[#8v2]-[#6v4])(-[#16v2]-[#6v4])-[#1]
164,63745,N-(N-Azido)amine,CNN=[N+]=[N-],[#6v4]-[#7v3](-[#1])-[#7v3]=[#7v4+]=[#7v2-]
165,61801,Orthocarboxylate_ester,COC(C)(OC)OC,[#6v4]-[#6v4](-[#8v2]-[#6v4])(-[#8v2]-[#6v4])-[#8v2]-[#6v4]
166,61657,Phosphine_oxide,CP(C)(C)=O,[#6v4]-[#15v5](=[#8v2])(-[#6v4])-[#6v4]
167,61402,N-Sulfinamide,CNS(C)=O,[#6v4]-[#16v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
168,60778,"N,N-Urea",CN(C)C(N)=O,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
169,57561,"1,3,3-Triazene",CN=NN(C)C,[#6v4]-[#7v3]=[#7v3]-[#7v3](-[#6v4])-[#6v4]
170,56730,Stannyl,C[Sn],[#6v4]-[#50]
171,56073,Hydroperoxide,COO,[#6v4]-[#8v2]-[#8v2]-[#1]
172,55807,Phosphine_(primary),CP,[#6v4]-[#15v3](-[#1])-[#1]
173,55000,"N,N''-Carboximidohydrazide_(N'-ethylidene)",CC=NN(C)C(C)=NC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#7v3]=[#6v4](-[#1])-[#6v4]
174,52422,Phosphate_ester,COP(=O)(OC)OC,[#6v4]-[#8v2]-[#15v5](=[#8v2])(-[#8v2]-[#6v4])-[#8v2]-[#6v4]
175,50002,Sulfuric_acid_ester,COS(=O)(=O)O,[#6v4]-[#8v2]-[#16v6](=[#8v2])(=[#8v2])-[#8v2]-[#1]
176,49992,"1,1,2,3,3-Guanidine",CN=C(N(C)C)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#6v4]
177,49832,Carbonic_acid_ester,COC(=O)O,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#8v2]-[#1]
178,49053,Fluoro_(B),BF,[#5]-[#9v1]
179,48961,O-Hydroxylamine,CON,[#1]-[#7v3](-[#1])-[#8v2]-[#6v4]
180,48863,"N,N,N',N'-Thiourea",CN(C)C(=S)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#16v2])-[#7v3](-[#6v4])-[#6v4]
181,48412,α-Amino_ketone,CC(=O)C(C)N,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#6v4]
182,47411,Chloro_(N),NCl,[#7]-[#17v1]
183,47411,"α-Hydroxy_N,N-carboxamide",CC(O)C(=O)N(C)C,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
184,46584,O-(N-Acyl-N-hydroxy)carboxamide,CON(C(C)=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#8v2]-[#6v4])-[#6v4](=[#8v2])-[#6v4]
185,44986,Carboximidate_ester,COC(C)=N,[#6v4]-[#6v4](=[#7v3]-[#1])-[#8v2]-[#6v4]
186,44505,Aldoxime,CC=NO,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#1])-[#1]
187,43889,Geminal_diol_(primary),CC(O)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#8v2]-[#1])-[#1]
188,42888,Borane_(tertiary),CB(C)C,[#6v4]-[#5v3](-[#6v4])-[#6v4]
189,42683,α-S-Sulfanyl_N-amine_(primary),CNC(C)SC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#16v2]-[#6v4])-[#1]
190,40089,α-Oxy_N-amine_(secondary),CNC(C)(C)OC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#8v2]-[#6v4])-[#6v4]
191,39801,Nitrate_ester,CO[N+](=O)[O-],[#6v4]-[#8v2]-[#7v4+](=[#8v2])-[#8v1-]
192,39423,N-Carbohydrazide,CC(=O)N(C)N,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3](-[#1])-[#1]
193,38402,Iodo_(N),NI,[#7]-[#53v1]
194,38070,α-Oxo_carboxylate_ester,COC(=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#8v2]-[#6v4]
